qid,variant,entropy_bits,dup_rate_pct,num_supports
"Middle East // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",mmr_off,2.1187,9.35,100
Crime // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,mmr_off,1.3667,6.42,100
Do you listen to the radio?,mmr_off,0.846,4.93,100
Have you ever experienced or believed in any of the following?,mmr_off,1.5822,1.68,100
What benefits do you think video games provide?,mmr_off,2.2317,3.07,100
Social and cultural values // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,mmr_off,0.9776,19.62,100
People who come from countries not well represented in the U.S. // How much priority should be given to each of the following?,mmr_off,1.453,10.53,100
Which comes closer to your view - even if neither is exactly right?,mmr_off,0.9966,3.74,100
Crime // What type of impact do you think immigrants living in the country legally are having on each of the following areas?,mmr_off,1.2359,6.61,100
"Africa // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",mmr_off,2.1754,15.17,100
People who have close family members already living in the U.S. // How much priority should be given to each of the following?,mmr_off,1.5004,16.65,100
"How much have you seen, read, or heard about illegal immigration in the news lately?",mmr_off,1.7991,14.08,100
How do you prefer your sandwiches to be served?,mmr_off,1.2927,1.37,100
Is there at least one working telephone inside your home that is not a cell phone?,mmr_off,0.7955,2.67,100
How concerned are you about how Companies use the data they collect about you?,mmr_off,1.805,3.7,100
"Middle East // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",ce_g020,2.2997,3.68,100
Crime // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,ce_g020,1.5477,3.98,100
Do you listen to the radio?,ce_g020,0.9594,3.37,100
Have you ever experienced or believed in any of the following?,ce_g020,1.3056,1.98,100
What benefits do you think video games provide?,ce_g020,1.3483,2.44,100
Social and cultural values // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,ce_g020,1.5339,8.59,100
People who come from countries not well represented in the U.S. // How much priority should be given to each of the following?,ce_g020,1.5828,6.59,100
Which comes closer to your view - even if neither is exactly right?,ce_g020,0.9141,2.67,100
Crime // What type of impact do you think immigrants living in the country legally are having on each of the following areas?,ce_g020,1.4472,4.18,100
"Africa // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",ce_g020,2.2997,5.84,100
People who have close family members already living in the U.S. // How much priority should be given to each of the following?,ce_g020,1.5775,5.23,100
"How much have you seen, read, or heard about illegal immigration in the news lately?",ce_g020,2.0684,6.3,100
How do you prefer your sandwiches to be served?,ce_g020,1.2183,1.78,100
Is there at least one working telephone inside your home that is not a cell phone?,ce_g020,0.9529,1.82,100
How concerned are you about how Companies use the data they collect about you?,ce_g020,1.8915,3.11,100
"Middle East // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",ce_g010,2.3159,6.4,100
Crime // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,ce_g010,1.5785,6.67,100
Do you listen to the radio?,ce_g010,0.8748,4.4,100
Have you ever experienced or believed in any of the following?,ce_g010,1.1676,0.57,100
What benefits do you think video games provide?,ce_g010,2.1524,1.27,100
Social and cultural values // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,ce_g010,1.5792,9.31,100
People who come from countries not well represented in the U.S. // How much priority should be given to each of the following?,ce_g010,1.5622,15.84,100
Which comes closer to your view - even if neither is exactly right?,ce_g010,0.9522,2.14,100
Crime // What type of impact do you think immigrants living in the country legally are having on each of the following areas?,ce_g010,1.5809,4.57,100
"Africa // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",ce_g010,2.3155,7.47,100
People who have close family members already living in the U.S. // How much priority should be given to each of the following?,ce_g010,1.5605,13.76,100
"How much have you seen, read, or heard about illegal immigration in the news lately?",ce_g010,2.2882,11.88,100
How do you prefer your sandwiches to be served?,ce_g010,1.5825,2.46,100
Is there at least one working telephone inside your home that is not a cell phone?,ce_g010,0.9846,2.22,100
How concerned are you about how Companies use the data they collect about you?,ce_g010,1.9892,1.66,100
"Middle East // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",k40,2.1087,10.04,100
Crime // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,k40,1.343,7.43,100
Do you listen to the radio?,k40,0.8596,4.93,100
Have you ever experienced or believed in any of the following?,k40,1.5822,1.72,100
What benefits do you think video games provide?,k40,2.2024,2.91,100
Social and cultural values // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,k40,0.9971,19.35,100
People who come from countries not well represented in the U.S. // How much priority should be given to each of the following?,k40,1.4674,11.25,100
Which comes closer to your view - even if neither is exactly right?,k40,0.9967,4.0,100
Crime // What type of impact do you think immigrants living in the country legally are having on each of the following areas?,k40,1.2652,6.93,100
"Africa // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",k40,2.1924,16.16,100
People who have close family members already living in the U.S. // How much priority should be given to each of the following?,k40,1.5141,16.57,100
"How much have you seen, read, or heard about illegal immigration in the news lately?",k40,1.8403,15.19,100
How do you prefer your sandwiches to be served?,k40,1.2753,1.66,100
Is there at least one working telephone inside your home that is not a cell phone?,k40,0.7366,2.16,100
How concerned are you about how Companies use the data they collect about you?,k40,1.8343,3.47,100
"Middle East // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",baseline,2.1087,7.62,100
Crime // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,baseline,1.343,5.68,100
Do you listen to the radio?,baseline,0.8596,4.2,100
Have you ever experienced or believed in any of the following?,baseline,1.5822,0.89,100
What benefits do you think video games provide?,baseline,2.2024,2.36,100
Social and cultural values // What type of impact do you think immigrants living in the country illegally are having on each of the following areas?,baseline,0.9971,14.85,100
People who come from countries not well represented in the U.S. // How much priority should be given to each of the following?,baseline,1.4674,8.79,100
Which comes closer to your view - even if neither is exactly right?,baseline,0.9967,3.13,100
Crime // What type of impact do you think immigrants living in the country legally are having on each of the following areas?,baseline,1.2652,6.02,100
"Africa // When it comes to their values, how much do you think immigrants from each of the following regions have in common with most Americans?",baseline,2.1924,12.65,100
People who have close family members already living in the U.S. // How much priority should be given to each of the following?,baseline,1.5141,13.6,100
"How much have you seen, read, or heard about illegal immigration in the news lately?",baseline,1.8403,12.2,100
How do you prefer your sandwiches to be served?,baseline,1.2753,0.65,100
Is there at least one working telephone inside your home that is not a cell phone?,baseline,0.7366,1.41,100
How concerned are you about how Companies use the data they collect about you?,baseline,1.8343,2.77,100
